,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
98,98,9.4,786.1502942,0.0,0.0,10,134.9533964,36.05545667,-0.6516626943444976
99,99,35.58,846.9935523,0.0,0.0,52,134.9711726,36.05545667,-0.28983298303707117
100,100,25.55,780.3760749,0.0,0.0,38,134.9889488,36.05545667,-0.4104428868062133
101,101,7.28,780.3760749,0.0,0.0,18,135.0067251,36.05545667,-0.5827427493335593
102,102,6.95,780.3760749,114.0,0.0,20,135.0245013,36.05545667,-0.5655127630808247
103,103,31.88,780.3760749,0.0,0.0,48,135.0422775,36.05545667,-0.32429295554254034
104,104,24.06,970.138682,731.0,0.0,42,135.0600537,36.05545667,-0.37598291430074415
105,105,51.26,990.1136933,2503.5,0.0,59,135.07783,36.05545667,-0.2295280311525001
106,106,27.54,978.63859,0.0,0.0,53,135.0956062,36.05545667,-0.28121798991070385
107,107,18.9,381.9332153,0.0,0.0,25,135.1133824,36.05545667,-0.5224377974489882
108,108,29.32,381.9332153,0.0,0.0,13,135.1311586,36.05545667,-0.6258177149653957
109,109,53.21,381.9332153,36.0,0.0,84,135.1489349,36.05545667,-0.014153202993317668
110,110,39.11,381.9332153,0.0,0.0,62,135.1667111,36.05545667,-0.2036830517733982
111,111,5.98,381.9332153,0.0,0.0,11,135.1844873,36.05545667,-0.6430477012181304
112,112,3.45,401.6804765,0.0,0.0,10,135.2022635,36.05545667,-0.6516626943444976
113,113,2.33,414.8453173,0.0,0.0,3,135.2200397,36.05545667,-0.7119676462290687
114,114,0.0,0.0,0.0,0.0,0,135.237816,36.05545667,
115,115,0.0,0.0,0.0,0.0,0,135.2555922,36.05545667,
116,116,8.2,0.0,0.0,0.0,0,134.8289628,36.07057815,
117,117,23.03,519.790184,0.0,0.0,36,134.846739,36.07057815,-0.4276728730589479
118,118,8.94,519.790184,0.0,0.0,13,134.8645153,36.07057815,-0.6258177149653957
119,119,16.93,519.790184,0.0,0.0,12,134.8822915,36.07057815,-0.634432708091763
120,120,25.36,519.790184,0.0,0.0,35,134.9000677,36.07057815,-0.43628786618531523
121,121,15.58,519.790184,0.0,0.0,28,134.9178439,36.07057815,-0.4965928180698863
122,122,2.35,519.790184,0.0,0.0,13,134.9356202,36.07057815,-0.6258177149653957
123,123,18.63,529.2279723,0.0,0.0,28,134.9533964,36.07057815,-0.4965928180698863
124,124,21.84,762.6923138,0.0,0.0,22,134.9711726,36.07057815,-0.5482827768280901
125,125,266.28,780.3760749,0.0,0.0,71,134.9889488,36.07057815,-0.12614811363609252
126,126,327.79,780.3760749,118.0,0.0,509,135.0067251,36.07057815,3.6472188757127837
127,127,85.97,780.3760749,0.0,0.0,131,135.0245013,36.07057815,0.3907514739459453
128,128,15.88,780.3760749,0.0,0.0,31,135.0422775,36.07057815,-0.4707478386907844
129,129,20.74,0.0,0.0,0.0,33,135.0600537,36.07057815,-0.4535178524380498
130,130,14.65,990.1136933,0.0,0.0,23,135.07783,36.07057815,-0.5396677837017227
131,131,30.55,488.3647989,0.0,0.0,40,135.0956062,36.07057815,-0.39321290055347874
132,132,18.04,381.9332153,0.0,0.0,21,135.1133824,36.07057815,-0.5568977699544574
133,133,227.58,381.9332153,0.0,0.0,57,135.1311586,36.07057815,-0.24675801740523468
134,134,262.92,381.9332153,0.0,0.0,423,135.1489349,36.07057815,2.906329466845196
135,135,63.63,381.9332153,175.0,0.0,91,135.1667111,36.07057815,0.04615174889125341
136,136,6.75,381.9332153,0.0,0.0,12,135.1844873,36.07057815,-0.634432708091763
137,137,14.87,408.6742981,0.0,0.0,16,135.2022635,36.07057815,-0.5999727355862938
138,138,8.96,414.8453173,0.0,0.0,9,135.2200397,36.07057815,-0.6602776874708649
139,139,0.0,0.0,0.0,0.0,0,135.237816,36.07057815,
140,140,0.0,0.0,0.0,0.0,0,135.2555922,36.07057815,
141,141,0.0,0.0,0.0,0.0,0,135.2733684,36.07057815,
142,142,0.0,0.0,0.0,0.0,0,135.2911446,36.07057815,
143,143,0.0,0.0,0.0,0.0,0,135.3089209,36.07057815,
144,144,0.0,658.1882575,0.0,0.0,3,134.7400817,36.08569964,-0.7119676462290687
145,145,2.18,519.790184,0.0,0.0,1,134.8289628,36.08569964,-0.7291976324818034
146,146,12.5,519.790184,0.0,0.0,15,134.846739,36.08569964,-0.6085877287126612
147,147,21.09,519.790184,0.0,0.0,28,134.8645153,36.08569964,-0.4965928180698863
148,148,9.72,519.790184,0.0,0.0,12,134.8822915,36.08569964,-0.634432708091763
149,149,14.18,519.790184,0.0,0.0,21,134.9000677,36.08569964,-0.5568977699544574
150,150,6.07,548.1035491,0.0,0.0,14,134.9178439,36.08569964,-0.6172027218390285
151,151,14.31,530.8009371,0.0,0.0,24,134.9356202,36.08569964,-0.5310527905753555
152,152,5.68,625.4934137,0.0,0.0,10,134.9533964,36.08569964,-0.6516626943444976
153,153,8.2,675.2750127,81.0,0.0,11,134.9711726,36.08569964,-0.6430477012181304
154,154,56.45,772.0885359,0.0,0.0,31,134.9889488,36.08569964,-0.4707478386907844
155,155,91.91,780.3760749,140.0,0.0,115,135.0067251,36.08569964,0.25291158392406854
156,156,30.19,780.3760749,92.0,0.0,51,135.0245013,36.08569964,-0.2984479761634385
157,157,8.25,780.3760749,0.0,0.0,18,135.0422775,36.08569964,-0.5827427493335593
158,158,32.9,0.0,0.0,0.0,35,135.0600537,36.08569964,-0.43628786618531523
159,159,77.01,381.9332153,361.0,0.0,77,135.07783,36.08569964,-0.07445815487788875
160,160,53.28,381.9332153,0.0,0.0,84,135.0956062,36.08569964,-0.014153202993317668
161,161,2.52,381.9332153,0.0,0.0,7,135.1133824,36.08569964,-0.6775076737235995
162,162,7.48,381.9332153,0.0,0.0,16,135.1311586,36.08569964,-0.5999727355862938
163,163,5.1,381.9332153,565.0,0.0,16,135.1489349,36.08569964,-0.5999727355862938
164,164,19.7,381.9332153,0.0,0.0,29,135.1667111,36.08569964,-0.487977824943519
165,165,49.84,413.2780743,0.0,0.0,42,135.1844873,36.08569964,-0.37598291430074415
166,166,58.3,414.8453173,566.0,0.0,70,135.2022635,36.08569964,-0.13476310676245984
167,167,26.41,414.8453173,0.0,0.0,27,135.2200397,36.08569964,-0.5052078111962536
168,168,6.79,414.8453173,0.0,0.0,10,135.237816,36.08569964,-0.6516626943444976
169,169,22.12,364.7729078,0.0,0.0,11,135.2555922,36.08569964,-0.6430477012181304
170,170,41.23,359.7656668,19.0,6475000.0,51,135.2733684,36.08569964,-0.2984479761634385
171,171,1.35,359.7656668,0.0,0.0,1,135.2911446,36.08569964,-0.7291976324818034
172,172,0.0,0.0,0.0,0.0,0,135.3089209,36.08569964,
173,173,0.0,0.0,0.0,0.0,0,135.3266971,36.08569964,
174,174,0.0,0.0,0.0,0.0,0,135.3444733,36.08569964,
175,175,0.0,658.1882575,0.0,0.0,2,134.686753,36.10082112,-0.720582639355436
176,176,0.0,0.0,0.0,0.0,0,134.7045293,36.10082112,
177,177,0.0,658.1882575,0.0,0.0,1,134.7223055,36.10082112,-0.7291976324818034
178,178,6.75,658.1882575,0.0,0.0,10,134.7400817,36.10082112,-0.6516626943444976
179,179,0.0,0.0,0.0,0.0,0,134.7578579,36.10082112,
180,180,2.69,519.790184,0.0,0.0,1,134.846739,36.10082112,-0.7291976324818034
181,181,97.13,560.4452723,0.0,0.0,13,134.8645153,36.10082112,-0.6258177149653957
182,182,157.7,651.9192212,0.0,0.0,203,134.8822915,36.10082112,1.0110309790443908
183,183,44.89,635.4030915,49.0,0.0,88,134.9000677,36.10082112,0.02030676951215152
184,184,8.53,651.9192212,0.0,0.0,12,134.9178439,36.10082112,-0.634432708091763
185,185,93.85,630.7785752,0.0,0.0,25,134.9356202,36.10082112,-0.5224377974489882
186,186,101.7,651.9192212,0.0,0.0,179,134.9533964,36.10082112,0.8042711440115755
187,187,19.03,651.9192212,192.0,0.0,41,134.9711726,36.10082112,-0.3845979074271114
188,188,3.45,662.623959,0.0,0.0,12,134.9889488,36.10082112,-0.634432708091763
189,189,9.34,774.7909943,0.0,0.0,23,135.0067251,36.10082112,-0.5396677837017227
190,190,19.76,780.3760749,0.0,0.0,26,135.0245013,36.10082112,-0.5138228043226208
191,191,3.5,0.0,0.0,0.0,17,135.0422775,36.10082112,-0.5913577424599266
192,192,19.23,0.0,0.0,0.0,22,135.0600537,36.10082112,-0.5482827768280901
193,193,37.78,0.0,0.0,0.0,57,135.07783,36.10082112,-0.24675801740523468
194,194,8.45,381.9332153,0.0,0.0,18,135.0956062,36.10082112,-0.5827427493335593
195,195,9.95,381.9332153,0.0,0.0,22,135.1133824,36.10082112,-0.5482827768280901
196,196,13.15,381.9332153,0.0,0.0,27,135.1311586,36.10082112,-0.5052078111962536
197,197,5.4,398.3892663,0.0,0.0,14,135.1489349,36.10082112,-0.6172027218390285
198,198,35.7,414.1139372,0.0,0.0,45,135.1667111,36.10082112,-0.35013793492164225
199,199,36.85,414.8453173,0.0,0.0,30,135.1844873,36.10082112,-0.4793628318171517
200,200,91.96,414.8453173,0.0,0.0,45,135.2022635,36.10082112,-0.35013793492164225
201,201,82.92,414.8453173,0.0,1160000.0,137,135.2200397,36.10082112,0.4424414327041491
202,202,36.22,414.8453173,0.0,0.0,3,135.237816,36.10082112,-0.7119676462290687
203,203,99.76,364.4867797,133.0,3856666.667,70,135.2555922,36.10082112,-0.13476310676245984
204,204,120.94,359.7656668,122.0,4481111.111,163,135.2733684,36.10082112,0.6664312539896988
