省份,城市,地区,分类,店名,店铺id,人均,地址,网址
上海市,上海市,新天地/马当路,美食,乾饭皇·好饭好菜,k708k2elnd4h7Cc1,,新天地/马当路,http://www.dianping.com/shop/k708k2elnd4h7Cc1
上海市,上海市,新天地/马当路,美食,沙县小吃,G2ukrh1nUw6boeBU,,新天地/马当路,http://www.dianping.com/shop/G2ukrh1nUw6boeBU
上海市,上海市,新天地/马当路,美食,金小斩(新天地店),kaHcT9VLWxZYukbK,,新天地/马当路,http://www.dianping.com/shop/kaHcT9VLWxZYukbK
上海市,上海市,新天地/马当路,美食,HINICHIJOU毛绒熊爪暖心咖啡帮买,H8PSWE9iVE5VARhw,,新天地/马当路,http://www.dianping.com/shop/H8PSWE9iVE5VARhw
上海市,上海市,新天地/马当路,美食,DoubleWinCoffee(新天地店),G9Y9FYNSvAZmIeFG,,新天地/马当路,http://www.dianping.com/shop/G9Y9FYNSvAZmIeFG
上海市,上海市,新天地/马当路,美食,星主义,k1UEH4V6SD81ziSb,,新天地/马当路,http://www.dianping.com/shop/k1UEH4V6SD81ziSb
上海市,上海市,新天地/马当路,美食,蜀天上,H903XrUOF3qfet5B,,新天地/马当路,http://www.dianping.com/shop/H903XrUOF3qfet5B
上海市,上海市,新天地/马当路,美食,炖物24章古法饮品·节气说,jBjsih8rij2pmk7d,,新天地/马当路,http://www.dianping.com/shop/jBjsih8rij2pmk7d
上海市,上海市,新天地/马当路,美食,ILTEATRO意大利餐厅,H1qLFm2CO0VJ65Qu,,新天地/马当路,http://www.dianping.com/shop/H1qLFm2CO0VJ65Qu
上海市,上海市,新天地/马当路,美食,FrieslandCampina,F2HQ70p6o5teyh0Y,,新天地/马当路,http://www.dianping.com/shop/F2HQ70p6o5teyh0Y
上海市,上海市,新天地/马当路,美食,咬金·唐风酒馆(新天地店),l9ZCZgU9miMVPFMb,170,新天地/马当路,http://www.dianping.com/shop/l9ZCZgU9miMVPFMb
上海市,上海市,新天地/马当路,美食,猫妃·成都串烧酒馆(复兴广场店),k2zdB4OekGW4m21A,,新天地/马当路,http://www.dianping.com/shop/k2zdB4OekGW4m21A
上海市,上海市,新天地/马当路,美食,弄堂咖啡,G93IqEpbVTw2rKQu,,新天地/马当路,http://www.dianping.com/shop/G93IqEpbVTw2rKQu
上海市,上海市,新天地/马当路,美食,Green&Tasty绿塔市集,k30e84GXLTGR7WQO,,新天地/马当路,http://www.dianping.com/shop/k30e84GXLTGR7WQO
上海市,上海市,新天地/马当路,美食,TC咖啡·上海圈子(新天地南里店),k3NqRetzFphWd1AW,35,新天地/马当路,http://www.dianping.com/shop/k3NqRetzFphWd1AW
上海市,上海市,新天地/马当路,美食,武圣羊汤(中海环宇荟店),H8W0qfQ61enhzWy9,,新天地/马当路,http://www.dianping.com/shop/H8W0qfQ61enhzWy9
上海市,上海市,新天地/马当路,美食,少年jumpcafe,H5XB518kzeqvzVkh,,新天地/马当路,http://www.dianping.com/shop/H5XB518kzeqvzVkh
上海市,上海市,新天地/马当路,美食,切果乐,k6gmqnuIOwZa5ERS,,新天地/马当路,http://www.dianping.com/shop/k6gmqnuIOwZa5ERS
上海市,上海市,新天地/马当路,美食,米氦三小碗(无限极荟店),jD8jfVsGW5mIsWQG,,新天地/马当路,http://www.dianping.com/shop/jD8jfVsGW5mIsWQG
上海市,上海市,新天地/马当路,美食,喜淘冰,HaJWpHH1P9VN08bZ,,新天地/马当路,http://www.dianping.com/shop/HaJWpHH1P9VN08bZ
上海市,上海市,新天地/马当路,美食,龙云餐厅,l7pkO9ZWTvS59F4l,,新天地/马当路,http://www.dianping.com/shop/l7pkO9ZWTvS59F4l
上海市,上海市,新天地/马当路,美食,米池香港豉油鸡,l747wV8AToRBPNnl,,新天地/马当路,http://www.dianping.com/shop/l747wV8AToRBPNnl
上海市,上海市,新天地/马当路,美食,胆道(凯德店),lafDVW9l9LcIkjbe,,新天地/马当路,http://www.dianping.com/shop/lafDVW9l9LcIkjbe
