town,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density
彭浦新村街道,141,12,102.1666667,6,12,32,8,14,20,4,5,0,6,3,34777.93344
浦兴路街道,137,8,124.75,6,11,25,11,28,11,7,8,2,11,1,20627.95813
吴泾镇,132,1,105,9,8,8,9,10,10,7,3,6,10,6,2550.195843
金山工业区,126,0,,14,21,12,2,20,22,14,16,1,0,2,0
上钢新村街道,123,24,114.6666667,6,10,10,7,15,10,6,5,10,9,2,10472.62343
漕河泾新兴技术开发区,121,4,181.25,7,34,16,2,7,20,4,5,1,7,5,627.826448
东明路街道,121,18,115.3333333,9,9,16,14,12,13,7,7,2,9,1,17896.49927
临汾路街道,119,7,61,3,31,31,6,1,16,3,5,0,10,3,26596.16164
廊下镇,114,0,,7,8,13,1,6,7,22,4,0,0,7,519.790184
金泽镇,111,0,,1,16,17,1,21,11,4,2,1,2,20,457.5913206
庄行镇,111,0,,10,20,18,2,20,0,15,9,0,4,10,653.6017301
柘林镇,110,0,,8,29,23,2,10,0,4,13,3,6,9,414.8453173
金海社区,108,0,,6,17,6,4,16,0,11,10,0,9,6,0
莘庄工业区,108,2,119,4,35,6,15,2,14,4,3,1,10,6,2728.68277
吕巷镇,107,0,,7,21,11,0,11,11,21,10,0,1,11,651.9192212
新场镇,106,2,116,4,6,72,6,1,0,4,1,1,0,3,1152.804098
练塘镇,105,0,,0,23,30,4,13,6,3,4,2,0,14,533.1218366
四团镇,105,0,,22,20,22,2,17,0,4,8,0,1,7,812.0067069
洞泾镇,100,10,145,4,22,9,3,2,18,2,0,1,13,3,1725.349716
金桥经济技术开发区,100,22,205.3636364,10,19,15,4,2,12,1,6,3,2,1,238.0053378
张堰镇,99,0,,11,10,15,0,18,9,17,9,0,1,7,780.3760749
松江工业区,98,22,132.1818182,6,33,5,0,9,14,1,0,1,1,4,1126.54195
张江镇,98,8,134.5,2,3,12,5,13,16,8,4,3,11,6,3740.551336
华泾镇,97,1,73,5,19,24,4,9,12,7,1,0,4,4,6774.745615
金桥镇,97,14,167.2857143,6,8,22,7,9,3,5,9,5,5,0,4633.575281
唐镇,97,2,100,5,12,13,10,4,19,5,5,3,7,1,3333.140956
漕泾镇,88,1,117,5,21,16,1,11,10,13,1,0,1,4,381.9332153
南汇新城镇,87,8,167,4,7,2,4,2,3,3,3,4,3,5,0
重固镇,84,0,,2,16,12,3,13,9,8,4,2,3,10,1193.681862
外冈镇,83,6,150.6666667,0,19,13,2,1,9,3,0,0,6,10,1159.477441
长白新村街道,82,4,40.5,3,8,38,1,4,9,0,2,0,7,4,16756.26077
马桥镇,72,0,,4,7,7,4,5,10,7,2,1,8,14,1965.395862
南码头路街道,71,4,123.5,2,7,15,11,4,6,3,7,0,5,2,18200.21214
高桥镇,62,8,98.375,4,10,8,9,3,2,2,1,2,6,2,3192.200527
沪东新村街道,62,8,117.25,3,8,9,7,9,4,2,5,1,2,0,15141.3696
宣桥镇,61,0,,0,5,3,1,1,2,0,1,0,1,1,948.271002
曹路镇,60,2,39,8,2,11,8,7,2,7,0,6,0,2,2440.162254
叶榭镇,59,8,93,2,9,16,5,0,3,7,1,0,1,4,810.5243089
航头镇,51,0,,1,11,6,7,8,3,1,1,3,0,3,1352.958549
罗泾镇,47,2,92,1,7,9,4,0,9,2,1,1,2,7,819.770512
宝山城市工业园区,45,0,,1,4,32,0,1,2,1,1,0,0,1,2481.412041
泖港镇,43,0,,2,4,12,12,1,1,3,0,0,1,6,529.782831
小昆山镇,41,0,,2,9,14,1,3,5,0,0,0,2,3,1235.681142
外高桥保税区,38,0,,7,14,1,2,1,1,1,2,1,1,1,42.86625018
华亭镇,36,0,,4,1,6,2,1,8,2,0,0,2,9,852.2343639
新浜镇,31,2,95,1,4,11,1,1,1,1,0,0,1,7,551.1497093
合庆镇,27,2,134,0,3,2,8,0,1,3,0,0,3,0,1834.974249
石湖荡镇,27,0,,1,3,13,2,0,0,1,0,0,2,4,728.2772846
大团镇,17,0,,2,2,4,6,0,0,0,1,0,0,0,1033.988021
高东镇,17,0,,1,2,2,0,1,2,4,1,1,1,1,2240.829889
泥城镇,16,0,,2,4,1,3,1,0,0,0,4,0,0,772.0509011
书院镇,15,4,110,1,0,5,3,0,0,0,0,1,0,1,788.6149032
上海海港综合经济开发区,6,0,,0,5,1,0,0,0,0,0,0,0,0,554.4597084
城桥镇,2,0,,0,1,0,0,0,1,0,0,0,0,0,736.9944651
陈家镇,1,0,,0,0,0,0,0,0,1,0,0,0,0,371.8231107
东平林场,1,0,,0,0,0,0,0,0,0,0,0,0,0,6.140671462
港沿镇,1,0,,0,0,0,0,0,1,0,0,0,0,0,352.7987393
建设镇,1,0,,0,0,1,0,0,0,0,0,0,0,0,357.7536658
老港镇,1,0,,0,1,0,0,0,0,0,0,0,0,0,265.2633162
万祥镇,1,0,,0,0,1,0,0,0,0,0,0,0,0,769.4828331
