,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density_town,normalized_density_district,housing_town,housing_district,geometry
13,13,7.2,963.7237011,0.0,0.0,8,134.9889488,35.96472777,-0.4729056632976547,-0.40542769884081975,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 35.96472777)
14,14,21.81,963.7237011,0.0,0.0,38,135.0067251,35.96472777,-0.3758661975047023,-0.24041896918079292,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 35.96472777)
15,15,53.28,989.3767257,0.0,0.0,52,135.0245013,35.96472777,-0.5307061249017901,-0.16341489533944703,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 35.96472777)
16,16,286.23,1370.840533,49.0,0.0,77,135.0422775,35.96472777,-0.46647326954788876,-0.025907620622757973,-7.991702156825272,-2.9925467763309075,POINT (135.0422775 35.96472777)
17,17,598.26,1620.460826,155.6666667,820000.0,521,135.0600537,35.96472777,0.674302241537401,2.41622157834564,230.93593651079667,85.17130807758049,POINT (135.0600537 35.96472777)
18,18,479.06,1608.428744,805.8181818,880000.0,719,135.07783,35.96472777,1.1830264559403005,3.505279194101817,258.7253218132655,91.62232184737888,POINT (135.07783 35.96472777)
19,19,50.23,990.1136933,13958.0,0.0,59,135.0956062,35.96472777,-0.5074724393677568,-0.1249128584187741,-6.326704141710724,-2.9925467763309075,POINT (135.0956062 35.96472777)
21,21,19.91,963.7237011,0.0,0.0,26,134.9889488,35.97984925,-0.41468198382188326,-0.30642246104480364,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 35.97984925)
22,22,323.41,963.7237011,0.0,0.0,61,135.0067251,35.97984925,-0.30146927373010546,-0.11391227644143898,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 35.97984925)
23,23,591.4,963.7237011,11548.16667,0.0,466,135.0245013,35.97984925,1.008563514474752,2.113705573968924,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 35.97984925)
24,24,862.51,963.7237011,56.25,1173962.264,793,135.0422775,35.97984925,2.066293691617933,3.912300727263217,539.9604004263647,123.2282320617974,POINT (135.0422775 35.97984925)
25,25,1229.38,1301.361228,642.8888889,923207.5472,1030,135.0600537,35.97984925,1.9820831765428346,5.215869691577429,422.9195222681105,96.26786321315247,POINT (135.0600537 35.97984925)
26,26,985.86,1306.365698,1487.984127,1735121.951,1347,135.07783,35.97984925,2.7965557824303047,6.959461934985046,493.98873680789404,183.56237986001003,POINT (135.07783 35.97984925)
27,27,276.46,990.1136933,3205.769231,2029285.714,424,135.0956062,35.97984925,0.44561939080034085,1.8826933524448863,604.8849887414601,215.18995462148854,POINT (135.0956062 35.97984925)
28,28,81.31,990.1136933,119.0,0.0,137,135.1133824,35.97984925,-0.3037980208660811,0.3041098386972958,-6.326704141710724,-2.9925467763309075,POINT (135.1133824 35.97984925)
31,31,7.3,963.7237011,0.0,0.0,12,134.9889488,35.99497074,-0.45996706785859437,-0.38342653488614953,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 35.99497074)
