,town,Unnamed: 0,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density,GaussianMixture_result,Kmeans_result
10,平凉路街道,10,0.6659582689335394,0.3990147783251231,0.1223151610262828,0.621900826446281,0.4070080862533693,0.5552763819095478,0.3623481781376518,0.8158914728682171,0.6612466124661247,0.8515358361774744,0.7904599659284498,0.1138613861386138,0.8412698412698413,0.3605150214592275,0.4433413291396894,1,1
11,江苏路街道,11,0.6595826893353941,0.4150246305418719,0.2696211510638298,0.6425619834710744,0.398921832884097,0.5125628140703518,0.228744939271255,0.687984496124031,0.8482384823848238,0.7832764505119454,0.7427597955706985,0.2376237623762376,0.8004535147392291,0.4206008583690987,0.5724011989749351,1,1
12,夏阳街道,12,0.5931221020092735,0.0,0.0,0.2727272727272727,0.7439353099730459,0.6080402010050251,0.2894736842105263,0.6937984496124031,0.7560975609756098,0.8276450511945392,0.82793867120954,0.1435643564356435,0.5102040816326531,0.7124463519313304,0.0610511791402252,5,6
13,嘉兴路街道,13,0.5666537867078825,0.0073891625615763,0.1885690446808511,0.6528925619834711,0.4582210242587601,0.3768844221105528,0.2368421052631579,0.6337209302325582,0.7723577235772358,0.8481228668941979,0.8364565587734242,0.2277227722772277,0.5215419501133787,0.407725321888412,0.7982804325172955,1,1
14,山阳镇,14,0.517387944358578,0.0,0.0,0.8553719008264463,0.7223719676549866,0.371859296482412,0.1740890688259109,0.7248062015503876,0.2764227642276423,0.7696245733788396,0.817717206132879,0.0742574257425742,0.2222222222222222,0.3948497854077253,0.0225631910183346,9,6
15,五角场街道,15,0.2749227202472952,0.2463054187192118,0.1283291614518147,0.4338842975206611,0.3962264150943396,0.2010050251256281,0.020242914979757,0.2209302325581395,0.3035230352303523,0.1791808873720136,0.2572402044293015,0.0792079207920792,0.2063492063492063,0.0901287553648068,0.3340383362870757,7,8
16,徐家汇街道,16,0.2438176197836166,0.1600985221674876,0.2201983247809762,0.2913223140495868,0.339622641509434,0.1708542713567839,0.020242914979757,0.1996124031007752,0.3956639566395664,0.1160409556313993,0.1686541737649063,0.1039603960396039,0.2358276643990929,0.1545064377682403,0.3802603570825882,7,8
17,大场镇,17,0.2231452859350849,0.2955665024630542,0.0962609511889862,0.1694214876033057,0.3611859838274933,0.2386934673366834,0.082995951417004,0.2577519379844961,0.3062330623306233,0.0699658703071672,0.0936967632027257,0.0346534653465346,0.1451247165532879,0.1416309012875536,0.1957675161760676,7,8
18,长征镇,18,0.1843122102009273,0.0689655172413793,0.1159932057947434,0.2975206611570248,0.38544474393531,0.3341708542713568,0.1477732793522267,0.1395348837209302,0.2818428184281842,0.0699658703071672,0.1022146507666098,0.0198019801980198,0.1473922902494331,0.0987124463519313,0.3754838828847963,7,8
19,外滩街道,19,0.1752318392581143,0.0283251231527093,0.3415682647058823,0.128099173553719,0.2641509433962264,0.1180904522613065,0.0040485829959514,0.0910852713178294,0.2899728997289973,0.0665529010238907,0.0664395229982964,0.0693069306930693,0.0612244897959183,0.351931330472103,0.4926709342756663,7,8
